问题,出现总次数,出现的数据集数量,出现的数据集列表
Which cropping season best matches the vegetation state in the image?,1431,1,Landsat30-AU-VQA-train
Which type of land cover is most prominent in this image?,44,1,Landsat30-AU-VQA-train
What is the spatial relationship between the river and the cultivated fields?,10,1,Landsat30-AU-VQA-train
What is the spatial relationship between the shadows and the bare surface in the image?,1,1,Landsat30-AU-VQA-train
What is the spatial relationship between the river and the surrounding bare surfaces?,1,1,Landsat30-AU-VQA-train
"Given the cloud cover in this satellite image, can it be used for further analysis",1490,1,Landsat30-AU-VQA-train
How many prominent vegetated surfaces can be seen in the image?,1,1,Landsat30-AU-VQA-train
Which of the following objects can be identified in the image?,28,1,Landsat30-AU-VQA-train
How many distinct open pit mines are visible in the image?,8,1,Landsat30-AU-VQA-train
Which thin linear structure appears most prominently in this image?,687,1,Landsat30-AU-VQA-train
What is the dominant settlement type visible in this satellite image?,1353,1,Landsat30-AU-VQA-train
Which of the following objects from the list is visible in the image?,42,1,Landsat30-AU-VQA-train
Does this image contain any visible Overhead powerline?,169,1,Landsat30-AU-VQA-train
Which type of land cover dominates the upper portion of the image?,1,1,Landsat30-AU-VQA-train
Does this image contain any visible Pipeline?,169,1,Landsat30-AU-VQA-train
What type of land cover is most dominant in the image?,9,1,Landsat30-AU-VQA-train
What is the spatial relationship between the islands and the water in the image?,1,1,Landsat30-AU-VQA-train
What is the spatial relation between the cropland and the bare or sparsely vegetated land in the image?,1,1,Landsat30-AU-VQA-train
What is the spatial relation between the river and the cultivated fields in the image?,13,1,Landsat30-AU-VQA-train
How many lakes can be observed in the image?,1,1,Landsat30-AU-VQA-train
What is the predominant type of land cover visible in the image?,14,1,Landsat30-AU-VQA-train
What is the dominant land cover type in this image?,132,1,Landsat30-AU-VQA-train
Which of the following objects can be seen in the image?,252,1,Landsat30-AU-VQA-train
What is the relationship between the bare surfaces and the patches of natural vegetation?,1,1,Landsat30-AU-VQA-train
What is the spatial relationship between the road corridor and the cropland in the image?,4,1,Landsat30-AU-VQA-train
What is the spatial relationship between the town and the cultivated vegetation in the image?,1,1,Landsat30-AU-VQA-train
What is the spatial relation between the forested areas and cropland in the image?,1,1,Landsat30-AU-VQA-train
What is the spatial relationship between the cropland and the river in the image?,20,1,Landsat30-AU-VQA-train
What type of land cover is predominantly shown in the image?,13,1,Landsat30-AU-VQA-train
Which type of landscape is predominantly visible in the image?,14,1,Landsat30-AU-VQA-train
Which of the following objects can be observed in the image?,87,1,Landsat30-AU-VQA-train
What is the spatial relationship between bare surfaces and vegetated surfaces in this image?,1,1,Landsat30-AU-VQA-train
Does this image contain any visible Railway track?,188,1,Landsat30-AU-VQA-train
What is the dominant land cover type in the lower half of the image?,2,1,Landsat30-AU-VQA-train
What is the spatial relation between the bare surface and vegetation in the image?,2,1,Landsat30-AU-VQA-train
Which of the following objects is visible in the image?,600,1,Landsat30-AU-VQA-train
What type of landscape is primarily depicted in this image?,52,1,Landsat30-AU-VQA-train
What type of land cover dominates the image?,23,1,Landsat30-AU-VQA-train
How many distinct shorelines are visible in the image?,1,1,Landsat30-AU-VQA-train
How many distinct river or stream features can be identified in the image?,2,1,Landsat30-AU-VQA-train
Does this image contain any visible Fence wire?,187,1,Landsat30-AU-VQA-train
How many distinct lakes are visible in the image?,4,1,Landsat30-AU-VQA-train
How many roads can be observed in the image?,2,1,Landsat30-AU-VQA-train
Which of the following objects is present in the image?,75,1,Landsat30-AU-VQA-train
How many distinct complete islands can be observed in the image?,3,1,Landsat30-AU-VQA-train
Which of the following objects is visible in the bottom of the image?,1,1,Landsat30-AU-VQA-train
How many distinct bare surface areas can be observed in the image?,1,1,Landsat30-AU-VQA-train
What is the primary land cover type visible in this image?,7,1,Landsat30-AU-VQA-train
Which type of land cover is most dominant in the image?,27,1,Landsat30-AU-VQA-train
What is the spatial relationship between the river and the agricultural fields in the image?,4,1,Landsat30-AU-VQA-train
How many distinct urban areas (city or dense urban fabric) are visible in the image?,1,1,Landsat30-AU-VQA-train
What is the predominant land cover type in the image?,60,1,Landsat30-AU-VQA-train
What is the spatial relationship between the road corridor and the river in the image?,3,1,Landsat30-AU-VQA-train
What type of landscape is primarily depicted in the image?,55,1,Landsat30-AU-VQA-train
Which type of landscape is primarily depicted in this image?,32,1,Landsat30-AU-VQA-train
How many distinct golf courses are visible in the image?,3,1,Landsat30-AU-VQA-train
What is the spatial relationship between the cropland and the urban area in the image?,1,1,Landsat30-AU-VQA-train
What is the dominant type of land cover visible in the image?,19,1,Landsat30-AU-VQA-train
